cohort_id,gene,effect_size,log2fc,pvalue,n_prog,n_nonprog
GSE107994,CDK17,-0.7434236807582668,-0.2264691816748063,8.495138078545974e-05,53,122
GSE107994,CDK18,0.3191794257353602,0.0822536378633946,0.092793944435063,53,122
GSE107994,CDK19,-0.0756319890819283,-0.0063449146946652,0.6272607064550968,53,122
GSE107994,CDK2,-1.203569779975722,-0.2618728383079498,8.296065035779884e-07,53,122
GSE107994,CDK20,-1.2039470634922669,-0.4265436826490776,1.3408646618924804e-07,53,122
GSE107994,CDK2AP1,-0.1008029226304575,-0.026215669311882,0.6354452868522739,53,122
GSE107994,CDK2AP2,0.0371376764344069,0.0026297960983834,0.821116113153696,53,122
GSE107994,CDK4,-0.825090346245308,-0.0573266397471452,7.865417811885346e-06,53,122
GSE107994,CDK5,0.9719095158336742,0.1155641171957979,9.112173679261387e-08,53,122
GSE107994,CDK5RAP1,-0.7350796311278734,-0.0453856551433551,2.0361440351091048e-05,53,122
GSE107994,CDK5RAP2,1.3865785196860263,0.1525867784137133,7.999052592889987e-08,53,122
GSE107994,CDK5RAP3,0.7702240438250018,0.0441940782311003,2.587539840047548e-05,53,122
GSE107994,CDK6,-0.7455186444053692,-0.0890332919277172,3.086679314041531e-05,53,122
GSE107994,CDK7,-0.240041806431635,-0.0243458713271969,0.187863393080897,53,122
GSE107994,CDK8,-0.7053619236354288,-0.1821111089326164,0.0019421223407909,53,122
GSE107994,CDK9,0.01207611218984,0.0006305491591542,0.9439080888993036,53,122
GSE107994,CDKAL1,-0.9702484448177642,-0.1093346528273635,3.0416105697439744e-06,53,122
GSE107994,CDKL1,0.2666755503371469,0.1178795604741147,0.1159656499841641,53,122
GSE107994,CDKN1A,1.3944174400231846,0.1632158547710012,5.1858099764640484e-14,53,122
GSE107994,CDKN1B,-0.8114451948212957,-0.0913815378743287,0.0001446643872548,53,122
GSE107994,CDKN1C,-0.0952811685410871,-0.0278629257268958,0.5948044371032403,53,122
GSE107994,CDKN2A,0.0168771278200706,0.0076443449689457,0.9132457670628682,53,122
GSE107994,CDKN2AIP,-1.012976128621657,-0.2640165230362792,6.876804895535778e-06,53,122
GSE107994,CDKN2C,0.1652484211580317,0.0377610313151142,0.4282803200829471,53,122
GSE107994,CDKN2D,1.1400721954816122,0.0869475503906844,7.750140736992589e-09,53,122
GSE107994,CDR2,-1.6011250451466277,-0.3423355846071185,5.2249770118149726e-11,53,122
GSE107994,CDS2,1.0779160465419655,0.0633499303854869,8.636591476816604e-08,53,122
GSE107994,CDT1,0.5677357995503018,0.2784957655217306,0.000203750961827,53,122
GSE107994,CDV3,-0.0024251015089461,-9.832109308094417e-05,0.9898043406620276,53,122
GSE107994,CDYL,-0.3532352645752659,-0.0315528325587708,0.0651198621011797,53,122
GSE107994,CDYL2,0.1549894224351842,0.0256729780988125,0.3800693610147636,53,122
GSE107994,CEACAM1,1.812600238356965,0.3523780301281598,1.161886010705903e-21,53,122
GSE107994,CEACAM19,-0.5927408072238377,-0.261757737526554,0.0025440827772907,53,122
GSE107994,CEACAM21,0.5315398579387074,0.0855569734366668,0.0041833660452291,53,122
GSE107994,CEACAM3,1.254496757716724,0.1290104265949421,5.381190945971421e-10,53,122
GSE107994,CEACAM4,0.7816104984634644,0.0961829718022979,4.043238644542365e-05,53,122
GSE107994,CEACAM6,0.5439088373884448,0.3623299479074079,0.0033203217622843,53,122
GSE107994,CEACAM8,0.5800597243201105,0.4420823502520273,0.0013845629135726,53,122
GSE107994,CEBPE,0.2359586740516097,0.0617405690269734,0.1304945348797508,53,122
GSE107994,CEBPG,-0.1132998407231136,-0.0079860390312731,0.5432135447614145,53,122
GSE107994,CEBPZ,-0.7619605604681025,-0.0982552257296331,5.777812416878203e-05,53,122
GSE107994,CEL,0.835790752502566,0.3824738535192556,2.2152269368062422e-05,53,122
GSE107994,CELA1,0.3123518242884177,0.1113590480223641,0.0959145423336388,53,122
GSE107994,CELF1,-0.5789630611855162,-0.0251846760635796,0.0005147821542892,53,122
GSE107994,CELF2,0.0767263870039974,0.0034763057820952,0.6377838106560874,53,122
GSE107994,CELSR1,-1.2937285570567616,-0.6177788581535448,1.3957431456039588e-10,53,122
GSE107994,CELSR2,-1.1653304744326989,-0.3611036291573162,1.3211935592393452e-06,53,122
GSE107994,CELSR3,-1.1293460973211165,-0.3702617214690156,4.6426628838919766e-07,53,122
GSE107994,CENPE,0.0232760752400238,0.0074032427721529,0.883120837840958,53,122
GSE107994,CENPF,-0.3175436377650139,-0.1484048316273382,0.0529547143738588,53,122
GSE107994,CENPH,-0.8462644881343968,-0.3574094991057445,4.281389399955308e-06,53,122
GSE107994,CENPK,-0.8194773578721382,-0.4420852661561315,3.9216268026010586e-08,53,122
GSE107994,CENPL,-0.6728718788889043,-0.2549455229689589,1.481686826915388e-05,53,122
GSE107994,CENPM,0.1526807701487081,0.0816544399602547,0.3749711670248121,53,122
GSE107994,CENPN,0.712453908117623,0.3055111763067826,6.780089733995106e-05,53,122
GSE107994,CENPO,-0.5787981467170845,-0.0966584274764053,0.0038401979211433,53,122
GSE107994,CENPP,-0.3668571053515334,-0.1554761754834644,0.035139701985459,53,122
GSE107994,CENPT,-0.2194146481882224,-0.0139818849229014,0.164761005750776,53,122
GSE107994,CENPV,-0.8702793326365977,-0.2864049810617848,2.558363790295032e-05,53,122
GSE107994,CENPW,0.6181615987249054,0.2731924180673189,0.0007826398505459,53,122
GSE107994,CEP104,-0.0806955998905908,-0.0058564859660772,0.6170948688682579,53,122
GSE107994,CEP120,-1.011686117368227,-0.1854850997289086,1.0167735749875955e-06,53,122
GSE107994,CEP128,-0.7512150290341572,-0.3285768254798904,5.435779528530322e-07,53,122
GSE107994,CEP135,-0.2961650452770708,-0.0827619681998885,0.1301020315452198,53,122
GSE107994,CEP152,-0.4708173604189694,-0.1449663689691001,0.0150667828998555,53,122
GSE107994,CEP164,-0.2728549959964066,-0.0146065095107355,0.1239164465236466,53,122
GSE107994,CEP170,-0.5067342115650737,-0.1391164235918531,0.0052459933887382,53,122
GSE107994,CEP19,0.2891180974959059,0.0465489222699799,0.1022258219563894,53,122
GSE107994,CEP192,-0.5693164640171071,-0.0933412447061785,0.0045542150030159,53,122
