gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
PPIF,0.8596607970117699,0.0576390417704235,0.7466882751417399,0.9726333188817999,1.0,0.0,2,0.8596607970117699
PCSK6,0.8578500831554664,0.0576390417704235,0.7448775612854364,0.9708226050254964,1.0,0.0,2,0.8578500831554664
BMX,0.8575286597194126,0.07186313009817306,0.7166769247269934,0.9983803947118318,1.0,0.0036213988160074518,2,0.8575286597194126
MMRN1,0.8564748754111404,0.0576390417704235,0.7435023535411104,0.9694473972811705,1.0,0.0,2,0.8564748754111404
BCL6,0.8542885988592347,0.0576390417704235,0.7413160769892047,0.9672611207292647,1.0,0.0,2,0.8542885988592347
FAM114A1,0.8526491282340972,0.06686385903779023,0.7215959645200284,0.983702291948166,1.0,0.002252156736638507,2,0.8526491282340972
CPQ,0.8518241170447094,0.0576390417704235,0.7388515951746794,0.9647966389147394,1.0,0.0,2,0.8518241170447094
MMP9,0.8509622256821852,0.0576390417704235,0.7379897038121551,0.9639347475522152,1.0,0.0,2,0.8509622256821852
VDR,0.8505170307104447,0.0576390417704235,0.7375445088404147,0.9634895525804748,1.0,0.0,2,0.8505170307104447
SLC31A1,0.846575601022376,0.0730487581662302,0.7034000350165648,0.9897511670281871,1.0,0.003961298156304171,2,0.846575601022376
LCN2,0.8461275008266,0.06633326215990838,0.7161143069931797,0.9761406946600204,1.0,0.0021129272483285427,2,0.8461275008266
TLR7,0.8457075494671306,0.09655057375896552,0.6564684248995581,1.0349466740347029,1.0,0.011884614110500324,2,0.8457075494671306
ACHE,0.8443483778207455,0.0576390417704235,0.7313758559507154,0.9573208996907755,1.0,0.0,2,0.8443483778207455
FSTL1,0.8439863340969374,0.0576390417704235,0.7310138122269073,0.9569588559669674,1.0,0.0,2,0.8439863340969374
BTBD19,0.8435499057884184,0.0576390417704235,0.7305773839183883,0.9565224276584484,1.0,0.0,2,0.8435499057884184
MYO10,0.8420163216540062,0.09775434503955117,0.6504178053764859,1.0336148379315264,1.0,0.0123508073250577,2,0.8420163216540062
EPG5,0.8399587831269999,0.0576390417704235,0.7269862612569699,0.9529313049970299,1.0,0.0,2,0.8399587831269999
UACA,0.8395113996400826,0.09819323365399191,0.6470526616782585,1.0319701376019068,1.0,0.012522235212916427,2,0.8395113996400826
VWA5A,0.8394158355363014,0.08153280519999186,0.6796115373443173,0.9992201337282854,1.0,0.006562018363517746,2,0.8394158355363014
FHOD1,0.8368797904342805,0.09575429984439861,0.6492013627392592,1.0245582181293018,1.0,0.011579453451573095,2,0.8368797904342805
EGF,0.8307886547021142,0.0576390417704235,0.7178161328320841,0.9437611765721442,1.0,0.0,2,0.8307886547021142
BEND7,0.8222065740087229,0.08155003627379792,0.6623685029120789,0.9820446451053668,1.0,0.0065676001148824445,2,0.8222065740087229
SRPK1,0.8217569295374372,0.0576390417704235,0.7087844076674071,0.9347294514074672,1.0,0.0,2,0.8217569295374372
MGST1,0.8204452316373116,0.0576390417704235,0.7074727097672816,0.9334177535073417,1.0,0.0,2,0.8204452316373116
MEFV,0.8195056394802868,0.09864628416332201,0.6261589225201756,1.012852356440398,1.0,0.012700010723457422,2,0.8195056394802868
SEMA6B,0.8194202799975967,0.0576390417704235,0.7064477581275667,0.9323928018676267,1.0,0.0,2,0.8194202799975967
MMP8,0.8185262217814042,0.0576390417704235,0.7055536999113742,0.9314987436514343,1.0,0.0,2,0.8185262217814042
TMEM158,0.8182935968856376,0.0576390417704235,0.7053210750156076,0.9312661187556677,1.0,0.0,2,0.8182935968856376
PLA2G4A,0.8150915661504261,0.0576390417704235,0.7021190442803961,0.9280640880204561,1.0,0.0,2,0.8150915661504261
MBOAT2,0.8129330500666334,0.06806911423440788,0.6795175861671939,0.9463485139660729,1.0,0.002572774367788603,2,0.8129330500666334
APLP2,0.8122077548144266,0.0576390417704235,0.6992352329443966,0.9251802766844567,1.0,0.0,2,0.8122077548144266
PRKAR2B,0.8119558789103596,0.0576390417704235,0.6989833570403295,0.9249284007803896,1.0,0.0,2,0.8119558789103596
KDM5A,0.80935188151918,0.09316471997806897,0.6267490303621649,0.9919547326761952,1.0,0.010604762681052073,2,0.80935188151918
GP1BA,0.8082814033843302,0.07066153144680275,0.6697848017485968,0.9467780050200636,1.0,0.003282842044093387,2,0.8082814033843302
EIF4G3,0.805972779767718,0.0576390417704235,0.6930002578976879,0.918945301637748,1.0,0.0,2,0.805972779767718
CTNNA1,0.8058053021780469,0.0576390417704235,0.6928327803080169,0.918777824048077,1.0,0.0,2,0.8058053021780469
RHCE,0.8048838476548426,0.0576390417704235,0.6919113257848125,0.9178563695248726,1.0,0.0,2,0.8048838476548426
SLC38A5,0.8030268425070763,0.06537221769241826,0.6748972958299366,0.9311563891842161,1.0,0.0018637386542062924,2,0.8030268425070763
NUMB,0.8027639269276087,0.0576390417704235,0.6897914050575786,0.9157364487976387,1.0,0.0,2,0.8027639269276087
FCGR3B,0.8023514158574232,0.0576390417704235,0.6893788939873932,0.9153239377274532,1.0,0.0,2,0.8023514158574232
FBXL5,0.8023224639858384,0.0576390417704235,0.6893499421158084,0.9152949858558684,1.0,0.0,2,0.8023224639858384
FAM120AOS,0.800887866838156,0.06316237561468185,0.6770896106333796,0.9246861230429325,1.0,0.0013054128105717373,2,0.800887866838156
ZBTB47,0.7958949613659672,0.0576390417704235,0.6829224394959371,0.9088674832359972,1.0,0.0,2,0.7958949613659672
HP,0.7929775690261127,0.0576390417704235,0.6800050471560827,0.9059500908961428,1.0,0.0,2,0.7929775690261127
MAP4K4,0.7918332836209524,0.08819143891428063,0.6189780633489623,0.9646885038929425,1.0,0.00880902768677307,2,0.7918332836209524
MAP2K3,0.7873441155705236,0.057852644764131114,0.6739529318328267,0.9007352993082206,1.0,4.807365941536585e-05,2,0.7873441155705236
TAL1,0.7843636419667187,0.0576390417704235,0.6713911200966887,0.8973361638367487,1.0,0.0,2,0.7843636419667187
PLEKHB2,0.7837522847613065,0.07708345739080512,0.6326687082753285,0.9348358612472846,1.0,0.005161316676249991,2,0.7837522847613065
GMPR,0.7824234504860255,0.0576390417704235,0.6694509286159954,0.8953959723560555,1.0,0.0,2,0.7824234504860255
SLC25A44,0.780516441549945,0.08192257324198923,0.6199481979956462,0.9410846851042439,1.0,0.006688574120111218,2,0.780516441549945
LONRF3,0.7779330611369105,0.0576390417704235,0.6649605392668805,0.8909055830069406,1.0,0.0,2,0.7779330611369105
ZER1,0.7767185323358069,0.0576390417704235,0.6637460104657769,0.8896910542058369,1.0,0.0,2,0.7767185323358069
