gene,module
GPRC5D,M5
GPRIN3,M5
GPT2,M5
GPX7,M5
GRAMD2B,M5
GRHL1,M5
GRSF1,M5
GSDMB,M5
GSE1,M5
GSK3B,M5
GSTM2,M5
GSTM3,M5
GSTP1,M5
GSTZ1,M5
GTF2A1,M5
GTF2F2,M5
GTF2H5,M5
GTF3C6,M5
GTPBP10,M5
GTSE1,M5
GZMK,M5
GZMM,M5
H1-10-AS1,M5
H4C15,M5
HACD3,M5
HACD4,M5
HACE1,M5
HAPLN3,M5
HCG11,M5
HCN2,M5
HDAC1,M5
HDAC11,M5
HDAC3,M5
HDC,M5
HDGFL3,M5
HEATR1,M5
HECTD3,M5
HEMK2,M5
HERC1,M5
HERC2P3,M5
HERC3,M5
HERPUD1,M5
HIBCH,M5
HIF1A,M5
HIKESHI,M5
HINT2,M5
HJURP,M5
HLA-DMB,M5
HLA-DOA,M5
HLA-DPB1,M5
HLA-DQA2,M5
HLA-G,M5
HLCS,M5
HMBOX1,M5
HMGB1P10,M5
HMGB1P6,M5
HMGCS1,M5
HNRNPA1L2,M5
HNRNPA1L3,M5
HNRNPA1P21,M5
HNRNPA1P7,M5
HNRNPC,M5
HNRNPLL,M5
HOOK3,M5
HOXB-AS1,M5
HOXC4,M5
HPCAL4,M5
HPS3,M5
HRH4,M5
HRK,M5
HS6ST1,M5
HSBP1L1,M5
HSD17B10,M5
HSD17B3,M5
HSF2,M5
HSP90AA1,M5
HSP90B1,M5
HSPA1A,M5
HSPA1L,M5
HSPA5,M5
HSPBP1,M5
HTT,M5
HVCN1,M5
ICA1L,M5
ICOSLG,M5
IDH3G,M5
IDI1,M5
IFNG-AS1,M5
IFNLR1,M5
IFT140,M5
IFT52,M5
IFT57,M5
IFT80,M5
IFT88,M5
IGHD,M5
IGHE,M5
IGHGP,M5
IGHJ5,M5
IGHJ6,M5
IGHV1-69,M5
IGHV1-69D,M5
IGHV1OR15-1,M5
IGHV3-20,M5
IGHV3-49,M5
IGHV3-72,M5
IGIP,M5
IGKJ1,M5
IGKV1-6,M5
IGKV2-28,M5
